Gene name	UniProtKB Gene Name symbol	UniProtKB/Swiss-Prot ID
MT-ATP6	MT-ATP6	P00846
MT-ATP6	ATP6	P00846
MT-CO3	MT-CO3	P00414
MT-CO3	COX3	P00414
MT-ND6	MT-ND6	P03923
MT-ND6	ND6	P03923
COL1A2	COL1A2	P08123
COL1A2	COL1A2	P08123
COL1A2	COL1A2	P08123
CYP4F22	CYP4F22	Q6NT55
CYP4F22	CYP4F22	Q6NT55
COL1A2	COL1A2	
COL1A2	COL1A2	
COL1A2	COL1A2	
NECTIN4	NECTIN4	Q96NY8
NECTIN4	LNIR	Q96NY8
PYGM	PYGM	P11217
PYGM	PYGM	P11217
NR0B1	NR0B1	P51843
NR0B1	NR0B1	P51843
NR0B1	NR0B1	P51843
NR0B1	NR0B1	
NR0B1	NR0B1	
NR0B1	NR0B1	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	P51787
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
KCNQ1	KCNQ1	
PCDHGA1	PCDHGA1	Q9Y5H4
PCDHGA1	PCDHGA1	Q9Y5H4
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	P30481
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
HLA-B	HLA-B	
PCDHGA2	PCDHGA2	Q9Y5H1
PCDHGA2	PCDHGA2	Q9Y5H1
RB1	RB1	P06400
RB1	RB1	P06400
RB1	RB1	P06400
RB1	RB1	P06400
RB1	RB1	P06400
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
RB1	RB1	
MBL2	MBL2	P11226
PRRC2A	PRRC2A	P48634
PRRC2A	PRRC2A	P48634
SPTA1	SPTA1	P02549
