Gene name	UniProtKB Gene Name symbol	UniProtKB/Swiss-Prot ID
MT-ATP6	MT-ATP6	P00846
MT-ATP6	ATP6	P00846
MT-CO3	MT-CO3	P00414
MT-CO3	COX3	P00414
MT-ND6	MT-ND6	P03923
MT-ND6	ND6	P03923
COL1A2	COL1A2	P08123
CYP4F22	CYP4F22	Q6NT55
NECTIN4	NECTIN4	Q96NY8
NECTIN4	LNIR	Q96NY8
PYGM	PYGM	P11217
NR0B1	NR0B1	P51843
KCNQ1	KCNQ1	P51787
PCDHGA1	PCDHGA1	Q9Y5H4
HLA-B	HLA-B	P30481
PCDHGA2	PCDHGA2	Q9Y5H1
RB1	RB1	P06400
MBL2	MBL2	P11226
PRRC2A	PRRC2A	P48634
SPTA1	SPTA1	P02549
COG6	COG6	Q9Y2V7
FGF3	FGF3	P11487
GATA3	GATA3	P23771
CYP21A2	CYP21A2	P08686
SPAST	SPAST	Q9UBP0
PDYN	PDYN	P01213
CDKAL1	CDKAL1	Q5VV42
SLC26A1	SLC26A1	Q9H2B4
AGL	AGL	P35573
ZFYVE26	ZFYVE26	Q68DK2
IDUA	IDUA	P35475
NPC2	NPC2	P61916
C11orf65	C11orf65	Q8NCR3
COL11A2	COL11A2	P13942
SLC26A4	SLC26A4	O43511
ATM	ATM	Q13315
SERPINB8	SERPINB8	P50452
HMSD	HMSD	A8MTL9
HMSD	HMSD	P0C7T4
MYH7	MYH7	P12883
PLN	PLN	P26678
CEP85L	CEP85L	Q5SZL2
MMP26	MMP26	Q9NRE1
OR51F1	OR51F1	A6NGY5
SLC25A22	SLC25A22	Q9H936
ARMS2	ARMS2	P0C7Q2
INS	INS	P01308
INS-IGF2	INS-IGF2	F8WCM5
IK	IK	Q13123
TULP1	TULP1	O00294
LDLR	LDLR	P01130
SLC14A2	SLC14A2	Q15849
HMBS	HMBS	P08397
TGFBI	TGFBI	Q15582
ANTXR1	ANTXR1	Q9H6X2
MERTK	MERTK	Q12866
CDKN2A	CDKN2A	P42771
CDKN2A	CDKN2A	Q8N726
AMN	AMN	Q9BXJ7
LPA	LPA	P08519
CELSR1	CELSR1	Q9NYQ6
ABCA4	ABCA4	P78363
HBB	HBB	P68871
CD2AP	CD2AP	Q9Y5K6
AP4E1	AP4E1	Q9UPM8
CHRNE	CHRNE	Q04844
BDNF	BDNF	P23560
BCL11A	BCL11A	Q9H165
GFPT1	GFPT1	Q06210
SGCG	SGCG	Q13326
PEX6	PEX6	Q13608
SFTPC	SFTPC	P11686
VAX1	VAX1	Q5SQQ9
ATP7B	ATP7B	P35670
DCDC2	DCDC2	Q9UHG0
MFSD8	MFSD8	Q8NHS3
TSHB	TSHB	P01222
SACS	SACS	Q9NZJ4
SMPD1	SMPD1	P17405
OR51B5	OR51B5	Q9H339
HBE1	HBE1	P02100
HBG2	HBG2	P69892
GRM7	GRM7	Q14831
RTN3	RTN3	O95197
FGFR2	FGFR2	P21802
GLB1	GLB1	P16278
SYN3	SYN3	O14994
TIMP3	TIMP3	P35625
HARS1	HARS	P12081
MYO7A	MYO7A	Q13402
KLHL3	KLHL3	Q9UH77
MMUT	MMUT	P22033
MMUT	MUT	P22033
XPA	XPA	P23025
FERMT1	FERMT1	Q9BQL6
KCTD7	KCTD7	Q96MP8
DYNC2H1	DYNC2H1	Q8NCM8
DLD	DLD	P09622
PCDH15	PCDH15	Q96QU1
JAK2	JAK2	O60674
CYP2R1	CYP2R1	Q6VVX0
ASAH1	ASAH1	Q13510
NNT	NNT	Q13423
CYP1B1	CYP1B1	Q16678
MAPRE2	MAPRE2	Q15555
PROP1	PROP1	O75360
CDC14A	CDC14A	Q9UNH5
TCF7L2	TCF7L2	Q9NQB0
SLC7A7	SLC7A7	Q9UM01
MUTYH	MUTYH	Q9UIF7
H6PD	H6PD	O95479
CCT5	CCT5	P48643
CCT5	HEL-S-69	P48643
NDUFAF5	NDUFAF5	Q5TEU4
HLA-B	HLA-B	P30461
HLA-B	HLA-B	P03989
HLA-B	HLA-B	P30485
HLA-B	HLA-B	P30487
HLA-B	HLA-B	P18465
HLA-B	HLA-B	P10319
IL12B	IL12B	P29460
KIF7	KIF7	Q2M1P5
IL17RC	IL17RC	Q8NAC3
HFE	HFE	Q30201
ABCA1	ABCA1	O95477
HLA-B	HLA-B	P30466
HLA-B	HLA-B	P30685
HLA-B	HLA-B	P18463
HLA-B	HLA-B	Q04826
HLA-B	HLA-B	P18464
HLA-B	HLA-B	P30491
HLA-B	HLA-B	P30492
HLA-B	HLA-B	P30493
HLA-B	HLA-B	P30495
HLA-B	HLA-B	Q29940
HLA-B	HLA-B	P30498
HLA-B	HLA-B	Q29718
ABCC2	ABCC2	Q92887
GALT	GALT	P07902
CFTR	CFTR	P13569
GJB2	GJB2	P29033
KCNJ11	KCNJ11	Q14654
SIX1	SIX1	Q15475
TBXAS1	TBXAS1	P24557
SUB1	SUB1	P53999
SUB1	PC4	P53999
NFATC2	NFATC2	Q13469
MLC1	MLC1	Q15049
FUCA1	FUCA1	P04066
C19orf12	C19orf12	Q9NSK7
DSG4	DSG4	Q86SJ6
PON1	PON1	P27169
PKHD1	PKHD1	P08F94
GDF1	GDF1	P27539
CERS1	CERS1	P27544
NLRP7	NLRP7	Q8WX94
RAB28	RAB28	P51157
MAPT	MAPT	P10636
IFNGR1	IFNGR1	P15260
PIEZO2	PIEZO2	Q9H5I5
BMP1	BMP1	P13497
LOXL1	LOXL1	Q08397
CLTA	CLTA	P09496
KIFBP	KIF1BP	Q96EK5
HEXA	HEXA	P06865
FCGR3B	FCGR3B	O75015
GNE	GNE	Q9Y223
PCDHA6	PCDHA6	Q9UN73
GRHL3	GRHL3	Q8TE85
PCDHA3	PCDHA3	Q9Y5H8
PCDHA1	PCDHA1	Q9Y5I3
TP53	TP53	P04637
TTR	TTR	P02766
PCDHA7	PCDHA7	Q9UN72
PCDHA2	PCDHA2	Q9Y5H9
PCDHA4	PCDHA4	Q9UN74
ZNF536	ZNF536	O15090
PCDHA5	PCDHA5	Q9Y5H7
TCN2	TCN2	P20062
SERPINA1	SERPINA1	P01009
TOMM40	TOMM40	O96008
IL17F	IL17F	Q96PD4
CTSC	CTSC	P53634
ZMYM6	ZMYM6	O95789
IFT43	IFT43	Q96FT9
TNFAIP3	TNFAIP3	P21580
PKLR	PKLR	P30613
TMPRSS6	TMPRSS6	Q8IU80
TYR	TYR	P14679
SPG11	SPG11	Q96JI7
OTOF	OTOF	Q9HC10
TGM5	TGM5	O43548
APOL1	APOL1	O14791
SERPINC1	SERPINC1	P01008
RNF24	RNF24	Q9Y225
FAM155A	FAM155A	B1AL88
NALCN	NALCN	Q8IZF0
NALCN	VGCNL1	Q8IZF0
MAPK6	MAPK6	Q16659
COL9A1	COL9A1	P20849
